finding,status,observed,expected,evidence
,pass,verified before raw replay,all listed files exist and match SHA-256,manifest.json
,pass,"{""duplicates"": [], ""rows"": 18}",exactly 18 unique instance/seed keys,raw_per_run_results.csv and run_metadata.json
,pass,18/18 feasible objective replays,18/18,raw solutions replayed through validate_routes and evrptw.objective
,pass,"[""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass""]",every raw trace reconciles with ALNSResult and event log,"raw trace, raw event log, and solver_result"
,pass,18,18,raw candidate_state and neighborhood events
,pass,"[{""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 71, ""deadline_events"": 0, ""event_log_rows"": 6508, ""execution_errors"": 0, ""instance"": ""c101C5"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 71}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 70, ""deadline_events"": 0, ""event_log_rows"": 6503, ""execution_errors"": 0, ""instance"": ""c101C5"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 70}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 71, ""deadline_events"": 0, ""event_log_rows"": 6488, ""execution_errors"": 0, ""instance"": ""c101C5"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 71}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1897, ""deadline_events"": 5, ""event_log_rows"": 5387, ""execution_errors"": 0, ""instance"": ""c101_21"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 1897}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1815, ""deadline_events"": 6, ""event_log_rows"": 4045, ""execution_errors"": 0, ""instance"": ""c101_21"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 1815}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1811, ""deadline_events"": 7, ""event_log_rows"": 5425, ""execution_errors"": 0, ""instance"": ""c101_21"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 1811}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 2090, ""deadline_events"": 9, ""event_log_rows"": 25417, ""execution_errors"": 0, ""instance"": ""r101_21"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 2090}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1975, ""deadline_events"": 9, ""event_log_rows"": 19693, ""execution_errors"": 0, ""instance"": ""r101_21"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 1975}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 2066, ""deadline_events"": 9, ""event_log_rows"": 30073, ""execution_errors"": 0, ""instance"": ""r101_21"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 2066}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 72, ""deadline_events"": 0, ""event_log_rows"": 6514, ""execution_errors"": 0, ""instance"": ""r105C5"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 72}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 72, ""deadline_events"": 0, ""event_log_rows"": 6489, ""execution_errors"": 0, ""instance"": ""r105C5"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 72}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 72, ""deadline_events"": 0, ""event_log_rows"": 6455, ""execution_errors"": 0, ""instance"": ""r105C5"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 72}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 2218, ""deadline_events"": 5, ""event_log_rows"": 14539, ""execution_errors"": 0, ""instance"": ""rc101_21"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 2218}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 2190, ""deadline_events"": 10, ""event_log_rows"": 18541, ""execution_errors"": 0, ""instance"": ""rc101_21"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 2190}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 2252, ""deadline_events"": 7, ""event_log_rows"": 7808, ""execution_errors"": 0, ""instance"": ""rc101_21"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 2252}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 75, ""deadline_events"": 0, ""event_log_rows"": 6457, ""execution_errors"": 0, ""instance"": ""rc105C5"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 75}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 74, ""deadline_events"": 0, ""event_log_rows"": 6463, ""execution_errors"": 0, ""instance"": ""rc105C5"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 74}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 74, ""deadline_events"": 0, ""event_log_rows"": 6452, ""execution_errors"": 0, ""instance"": ""rc105C5"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 74}]",started/completed calls are separate and no time-limit candidate is accepted,raw trace deadline report
,pass,source/config/Stage 0/reference provenance matches raw metadata,"clean main revision, source/config hashes, both reference states, unchanged Stage 0 manifest","run_metadata.json, parameters.toml, and Stage 0 manifest"
,pass,"[""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}""]","each raw environment, instance, source/config, and reference hash matches","environments/<run>.json, raw_per_run_results.csv, and benchmark files"
,pass,"{""attempt16"": {""environment_path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/experiments/summaries/stage02_constraint_guided_attempt16_environment.json"", ""repository_dirty"": true, ""repository_revision"": ""6870b3125e9170a47246ec7333dbe382b7a0d854""}, ""rerun09"": {""environment_path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/experiments/summaries/stage02_constraint_guided_rerun09_environment.json"", ""repository_dirty"": true, ""repository_revision"": ""6870b3125e9170a47246ec7333dbe382b7a0d854""}}",attempt16 and rerun09 retain their recorded repository_dirty=true,run_metadata.json and historical Stage 2.3 environment records
,pass,"[{""attempt16_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""candidate_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""c101C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""seed"": 2014, ""vehicle_count_delta_vs_attempt16"": 0}, {""attempt16_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""candidate_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""c101C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""seed"": 2015, ""vehicle_count_delta_vs_attempt16"": 0}, {""attempt16_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""candidate_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""c101C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 257.747451864, 472.556700052, 3]"", ""seed"": 2016, ""vehicle_count_delta_vs_attempt16"": 0}, {""attempt16_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""candidate_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""r105C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""seed"": 2014, ""vehicle_count_delta_vs_attempt16"": 0}, {""attempt16_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""candidate_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""r105C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""seed"": 2015, ""vehicle_count_delta_vs_attempt16"": 0}, {""attempt16_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""candidate_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""r105C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 156.082069464, 44.159902941, 2]"", ""seed"": 2016, ""vehicle_count_delta_vs_attempt16"": 0}, {""attempt16_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""candidate_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""rc105C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""seed"": 2014, ""vehicle_count_delta_vs_attempt16"": 0}, {""attempt16_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""candidate_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""rc105C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""seed"": 2015, ""vehicle_count_delta_vs_attempt16"": 0}, {""attempt16_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""candidate_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""classification"": ""unchanged"", ""gate_status"": ""pass"", ""instance"": ""rc105C5"", ""reason"": ""C5 objective key must match both historical Stage 2.3 baselines"", ""rerun09_objective_key"": ""[2, 241.296391877, 59.789763586, 3]"", ""seed"": 2016, ""vehicle_count_delta_vs_attempt16"": 0}]",C5 objective key equals the Stage 2.3 attempt16 baseline,Stage 2.3 attempt16 per-run results
