schema_version,run_label,experiment_id,scope,instance,seed,algorithm,operator_profile,repository_revision,repository_dirty,algorithm_source_sha256,configuration_sha256,instance_sha256,stage00_manifest_sha256,environment_sha256,reference_vrp_evrp_hub_revision,reference_vrp_evrp_hub_dirty,reference_py_ga_vrptw_revision,reference_py_ga_vrptw_dirty,start_utc,end_utc,time_limit_seconds,max_iterations,threads,objective_schema,objective_key,vehicle_count,total_distance,total_charging_time,charging_count,runtime_seconds,first_feasible_time,best_time,iterations,effective_iterations,accepted_moves,improving_moves,rejected_moves,charging_subproblem_calls,trace_started_calls,trace_completed_calls,trace_exact_calls,trace_cache_hits,trace_precomputed_routes,trace_route_evaluations,trace_deadline_events,trace_screening_calls,trace_screening_passes,trace_screening_rejections,trace_screening_cache_hits,trace_screening_exact_call_blocked,trace_screening_reason_counts,trace_reconciliation_status,peak_tracemalloc_bytes,peak_rss_bytes,status,feasible,failure_reason,raw_path,solution_path,trace_path,event_path,environment_path
1,stage031_cheap_screening_formal01,c101C5-alns_stage02_constraint_guided-2014,formal,c101C5,2014,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,da044124afa7514bbc2885e349a65dafc16fc3d038cd3acd791200fb5c6567cf,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:34:08.243884+00:00,2026-07-13T21:34:08.431581+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 257.747451864, 472.556700052, 3]",2,257.7474518641999,472.55670005197175,3,0.18748116699862294,0.002235958003439009,0.0035907080018660054,1000,1000,755,1,245,28,28,28,28,4347,0,4375,0,13316,5735,61,7520,7581,"{""forward_time_window_prefilter"": 7581}",pass,,2235940864,feasible,True,,raw/c101C5-alns_stage02_constraint_guided-2014.json,solutions/c101C5-alns_stage02_constraint_guided-2014.json,traces/c101C5-alns_stage02_constraint_guided-2014.json,events/c101C5-alns_stage02_constraint_guided-2014.jsonl,environments/c101C5-alns_stage02_constraint_guided-2014.json
1,stage031_cheap_screening_formal01,c101C5-alns_stage02_constraint_guided-2015,formal,c101C5,2015,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,ac5ace8fa98be286d6be19169954e0828d934cf01e35326d67011fa23f2300cb,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:34:08.710712+00:00,2026-07-13T21:34:08.896434+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 257.747451864, 472.556700052, 3]",2,257.7474518641999,472.55670005197175,3,0.18316324999614153,0.0017776250024326146,0.003152000004774891,1000,1000,779,1,221,27,27,27,27,4258,0,4285,0,13191,5685,61,7445,7506,"{""forward_time_window_prefilter"": 7506}",pass,,2296823808,feasible,True,,raw/c101C5-alns_stage02_constraint_guided-2015.json,solutions/c101C5-alns_stage02_constraint_guided-2015.json,traces/c101C5-alns_stage02_constraint_guided-2015.json,events/c101C5-alns_stage02_constraint_guided-2015.jsonl,environments/c101C5-alns_stage02_constraint_guided-2015.json
1,stage031_cheap_screening_formal01,c101C5-alns_stage02_constraint_guided-2016,formal,c101C5,2016,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,3365da4477cf2e4fa32be244a86d1e6e632c486bd8fa5024a6233e7c75ab6dbc,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:34:09.163462+00:00,2026-07-13T21:34:09.352316+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 257.747451864, 472.556700052, 3]",2,257.7474518641999,472.55670005197175,3,0.18605712499993388,0.0018079590081470087,0.0030820420070085675,1000,1000,763,1,237,28,28,28,28,4338,0,4366,0,13319,5788,61,7470,7531,"{""forward_time_window_prefilter"": 7531}",pass,,2317221888,feasible,True,,raw/c101C5-alns_stage02_constraint_guided-2016.json,solutions/c101C5-alns_stage02_constraint_guided-2016.json,traces/c101C5-alns_stage02_constraint_guided-2016.json,events/c101C5-alns_stage02_constraint_guided-2016.jsonl,environments/c101C5-alns_stage02_constraint_guided-2016.json
1,stage031_cheap_screening_formal01,c101_21-alns_stage02_constraint_guided-2014,formal,c101_21,2014,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,964812081f71eaa2944639f49e974839ff1d1889af08b4667fc226bfba80eb52,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:35:29.987989+00:00,2026-07-13T21:36:00.023034+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[12, 1055.920259047, 1386.415951629, 8]",12,1055.9202590469108,1386.4159516285367,8,30.00389587499376,0.5434622909961035,3.741200958000263,244,244,195,16,49,1302,1302,1302,1302,25010,12,26324,7,541754,58897,31224,451633,482857,"{""capacity_prefilter"": 32554, ""forward_time_window_prefilter"": 450303}",pass,,5014192128,feasible,True,,raw/c101_21-alns_stage02_constraint_guided-2014.json,solutions/c101_21-alns_stage02_constraint_guided-2014.json,traces/c101_21-alns_stage02_constraint_guided-2014.json,events/c101_21-alns_stage02_constraint_guided-2014.jsonl,environments/c101_21-alns_stage02_constraint_guided-2014.json
1,stage031_cheap_screening_formal01,c101_21-alns_stage02_constraint_guided-2015,formal,c101_21,2015,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,6491a0af6222a2835b2d8fdea4420243781fd0013d7ddd6756ffa062e5c4a8f6,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:36:06.925700+00:00,2026-07-13T21:36:36.992656+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[12, 1055.920259047, 1386.415951629, 8]",12,1055.9202590469108,1386.4159516285367,8,30.00709095899947,0.39075320900883526,6.820135875008418,265,265,223,12,42,1251,1251,1251,1251,28884,12,30147,4,644922,65052,29908,549962,579870,"{""capacity_prefilter"": 28606, ""forward_time_window_prefilter"": 551264}",pass,,5014192128,feasible,True,,raw/c101_21-alns_stage02_constraint_guided-2015.json,solutions/c101_21-alns_stage02_constraint_guided-2015.json,traces/c101_21-alns_stage02_constraint_guided-2015.json,events/c101_21-alns_stage02_constraint_guided-2015.jsonl,environments/c101_21-alns_stage02_constraint_guided-2015.json
1,stage031_cheap_screening_formal01,c101_21-alns_stage02_constraint_guided-2016,formal,c101_21,2016,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,ea055ae71569c1a17249d87cbad6c3d77936573e4248c8ebfca6848ce9ddd358,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:36:44.909320+00:00,2026-07-13T21:37:15.012150+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[12, 1055.920259047, 1386.415951629, 8]",12,1055.9202590469108,1386.4159516285367,8,30.00853766700311,0.39180041699728463,7.587915374999284,226,226,186,13,40,1308,1308,1308,1308,22699,12,24019,2,518152,56405,32829,428918,461747,"{""capacity_prefilter"": 26898, ""forward_time_window_prefilter"": 434849}",pass,,5014192128,feasible,True,,raw/c101_21-alns_stage02_constraint_guided-2016.json,solutions/c101_21-alns_stage02_constraint_guided-2016.json,traces/c101_21-alns_stage02_constraint_guided-2016.json,events/c101_21-alns_stage02_constraint_guided-2016.jsonl,environments/c101_21-alns_stage02_constraint_guided-2016.json
1,stage031_cheap_screening_formal01,c104C10-alns_stage02_constraint_guided-2014,formal,c104C10,2014,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,f7816af706c1cf32dacaee45c710ff93ce53c9b56d17df657044e61e63d2c04b,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,d7737acb7115d32b8838a183a4922588f37740364e494dcef6098ecb85df253c,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:34:12.617431+00:00,2026-07-13T21:34:15.239035+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 273.931237129, 589.151039592, 3]",2,273.9312371287162,589.1510395919971,3,2.6177845420024823,0.028411375009454787,0.5326612089993432,1000,1000,749,32,251,2335,2335,2335,2335,39151,2,41488,0,68187,58976,669,8542,9211,"{""forward_time_window_prefilter"": 9211}",pass,,2518319104,feasible,True,,raw/c104C10-alns_stage02_constraint_guided-2014.json,solutions/c104C10-alns_stage02_constraint_guided-2014.json,traces/c104C10-alns_stage02_constraint_guided-2014.json,events/c104C10-alns_stage02_constraint_guided-2014.jsonl,environments/c104C10-alns_stage02_constraint_guided-2014.json
1,stage031_cheap_screening_formal01,c104C10-alns_stage02_constraint_guided-2015,formal,c104C10,2015,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,f7816af706c1cf32dacaee45c710ff93ce53c9b56d17df657044e61e63d2c04b,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,337e5508df8fb365db43f4409b5fe4a08e77c8e22d7e847c07d21f78b14eeb95,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:34:16.967904+00:00,2026-07-13T21:34:19.363787+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 279.933119059, 625.368886517, 3]",2,279.9331190586651,625.368886516508,3,2.379933832999086,0.028043500002240762,0.3402600830013398,1000,1000,818,21,182,1689,1689,1689,1689,39904,2,41595,0,70990,63437,389,7164,7553,"{""forward_time_window_prefilter"": 7553}",pass,,2992373760,feasible,True,,raw/c104C10-alns_stage02_constraint_guided-2015.json,solutions/c104C10-alns_stage02_constraint_guided-2015.json,traces/c104C10-alns_stage02_constraint_guided-2015.json,events/c104C10-alns_stage02_constraint_guided-2015.jsonl,environments/c104C10-alns_stage02_constraint_guided-2015.json
1,stage031_cheap_screening_formal01,c104C10-alns_stage02_constraint_guided-2016,formal,c104C10,2016,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,f7816af706c1cf32dacaee45c710ff93ce53c9b56d17df657044e61e63d2c04b,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,16c0154c9f6dae759583c1072d2d14d533daffe0dc21fb5698a0b764ee5621b3,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:34:21.100962+00:00,2026-07-13T21:34:23.597106+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 279.933119059, 625.368886517, 3]",2,279.9331190586651,625.368886516508,3,2.4781415829929756,0.028290499991271645,0.5415102919942001,1000,1000,834,18,166,2085,2085,2085,2085,37870,43,39998,0,68990,61325,495,7170,7665,"{""forward_time_window_prefilter"": 7665}",pass,,3195125760,feasible,True,,raw/c104C10-alns_stage02_constraint_guided-2016.json,solutions/c104C10-alns_stage02_constraint_guided-2016.json,traces/c104C10-alns_stage02_constraint_guided-2016.json,events/c104C10-alns_stage02_constraint_guided-2016.jsonl,environments/c104C10-alns_stage02_constraint_guided-2016.json
1,stage031_cheap_screening_formal01,c106C15-alns_stage02_constraint_guided-2014,formal,c106C15,2014,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,0c7b67d6f0b038d803ac018fe78d827ff85f93da,False,5f2508b8a49aa0d538c56e3bf2c45ad03534e7d9eec3cc935b786488d2655c61,e1840ebd3945bac63a1a1db5e13438dc2d1aad0b75fff316f3a4685d50583551,eba58a458a9fd13ae8fd404df8db1d04e49271326316256ee060468048881a86,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,571e536f7f6028d032f946d9a3e945abe00b7c52eec0a87880917d3d272b097a,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-13T21:34:39.182807+00:00,2026-07-13T21:34:42.196655+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[3, 275.133168873, 437.989595186, 2]",3,275.1331688731623,437.989595186203,2,3.0009231669973815,0.01786133399582468,0.45049458400171716,1000,1000,795,15,205,1604,1604,1604,1604,57208,28,58840,0,183249,76019,5201,102029,107230,"{""forward_time_window_prefilter"": 107230}",pass,,4135583744,feasible,True,,raw/c106C15-alns_stage02_constraint_guided-2014.json,solutions/c106C15-alns_stage02_constraint_guided-2014.json,traces/c106C15-alns_stage02_constraint_guided-2014.json,events/c106C15-alns_stage02_constraint_guided-2014.jsonl,environments/c106C15-alns_stage02_constraint_guided-2014.json
