finding,status,observed,expected,evidence
run_coverage_unique,pass,"36 rows, 36 unique keys","36 complete unique (instance, seed) keys",candidate per-run CSV
raw_solution_validator,pass,36/36,36/36 raw solutions pass unified validator,raw solution JSON and validation replay
raw_objective_recomputation,pass,36/36,validator objective equals solver objective for every raw solution,raw solver_result objective and validator recomputation
raw_solution_artifacts_complete,pass,36/36,raw JSON and solution JSON for every run,candidate raw/ and solutions/ directories
operator_event_artifacts_complete,pass,"event_csv=1, failure_csv=1, event_rows=200778, failure_rows=165493",one operator event CSV and one failure event CSV,candidate run directory
environment_and_manifest_complete,pass,"environment=True, manifest=1, manifest_integrity=True",environment JSON and checksum-valid run manifest,candidate run directory
source_config_instance_hash_consistency,pass,consistent,source/config/instance/environment hashes agree,"per-run rows, raw records, and environment JSON"
stage00_manifest_unchanged,pass,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,current Stage 0 manifest SHA-256,Stage 0 manifest and run environment
reproducibility_provenance_complete,pass,"{'complete': True, 'files': {'pyproject.toml': 'db6504511fa6882c9da9c62aeb76cf8a48993e587bf21895be26c11ffb96aa7b', 'uv.lock': 'a0a09dbb175df9ca27cb6046971275f5fb08b738c273f6997433d16ed202ed40', 'native_extension': '7b4b22e8d8c843644a92b0a06a0476f3c64945fe31b51a6c2c6f20cef1504826'}, 'package_versions': {'cplex': '22.2.0.0', 'docplex': '2.32.264', 'gurobipy': '13.0.2', 'highspy': '1.14.0', 'jupyterlab': '4.5.8', 'matplotlib': '3.11.0', 'networkx': '3.6.1', 'numba': '0.65.1', 'numpy': '2.4.6', 'ortools': '9.15.6755', 'pandas': '3.0.3', 'pybind11': '3.0.4', 'scipy': '1.17.1', 'seaborn': '0.13.2'}, 'python': {'executable': '/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/.venv/bin/python3', 'implementation': 'CPython', 'version': '3.13.13'}}","dependency lockfiles, native extension hash, package versions, and Python metadata",current repository files and captured environment metadata
formal_run_configuration,pass,"{'algorithm': 'ALNS_STAGE02_CONSTRAINT_GUIDED', 'operator_profile': 'stage02_constraint_guided', 'time_limit_seconds': 30.0, 'max_iterations': 1000, 'threads': 1, 'objective_schema': 'vehicles,distance,charging_time,charging_count', 'row_field_mismatches': [], 'environment_mismatches': [], 'current_config_path': '/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/configs/stage02_constraint_guided.toml'}",algorithm/profile/time limit/max iterations/threads match the recorded formal protocol,"run parameters TOML, per-run rows, and environment JSON"
