"sequence","legacy_sha","public_sha","author_date","subject"
"1","ed23b8344a1ac9c750a7febeb9ff87a2c604215a","0c3d4652d1557d90d3fff3f92bbba843112b4e34","2026-07-13T06:33:33+08:00","Add Stage 0 ALNS baseline harness"
"2","2153a8e72c68c34c1fd9df8d9b8004de92266432","3e9fa909451a05968c93117031cec532041c02eb","2026-07-13T06:45:50+08:00","Freeze Stage 0 ALNS baseline artifacts"
"3","f6b3eb5defbbccb39c34f6ada551f7bc78c3abe7","b3c6e2fc093dea7ae50e71862a0e08d2e790fbb7","2026-07-13T07:31:41+08:00","Implement Stage 1 lexicographic objective"
"4","6c87d86799ad6b6b07993e68e6aec718e0c43588","a5a98440b1b92dfcb64d759e7ffdbce08e12f2bf","2026-07-13T07:39:02+08:00","Record Stage 1 objective experiments"
"5","c5e2c16a8e5bd2a0c846221481f094608b0a6fb2","bebb8e4c186ea8cf6f8e3ede1bf9ea4d2b1216b2","2026-07-13T07:51:06+08:00","Harden Stage 1 objective verification"
"6","742775c7652e9b021c05a2a6e9aaadfe585d5140","a76c8c84a8addefcbc22fe390a0f51a5c0308bba","2026-07-13T07:57:39+08:00","Refresh Stage 1 results after review"
"7","e8d22bf4472e0e9a30d772344166fc70166eff0a","bc3e92b4a9e41e316f05915053e2f81240c3ca86","2026-07-13T08:57:47+08:00","Implement Stage 2.1 route reduction operators"
"8","372df9a4ad38149d0945b05cce3d1533e3d28c5f","6a8fffa17056ee91e23505b3b7141bf032cbb294","2026-07-13T09:05:14+08:00","Bound repair with safe route prefilters"
"9","d44f451a9a7f7c347ef1c6229ca42e10b2c7e9ef","af21b2e588b49991db0228f7640deba0e8fb6c24","2026-07-13T09:18:14+08:00","Record Stage 2.1 acceptance evidence"
"10","5c6c15eacaf8c7a37e8b4a954c18a6cd1e809840","9e65e3d1e3ffd6a6af9b6e2643687225f76a5feb","2026-07-13T14:39:26+08:00","Implement Stage 2.2 cross-route quality operators"
"11","96a630730e2cb3a435ed93a3b71f1df912eb93c6","d8eca2432a565dad9b4ee9758df62d9f89a68ced","2026-07-13T14:59:20+08:00","Preserve Stage 2.1 search during quality probes"
"12","6870b3125e9170a47246ec7333dbe382b7a0d854","b71156fca6d16ce82c744de4049db3dbdac45de3","2026-07-13T15:15:00+08:00","Record Stage 2.2 acceptance evidence"
"13","ddf05d4ffd2cd07743656494db1a0beaf459ef39","e2cf211fb465cb9297469d7a693b3cc19156a56a","2026-07-13T21:36:45+08:00","Implement Stage 2.3 constraint-guided search and audit"
"14","c331dbe8de7d85e72e6d4cfc7dd135b2f3451e07","a0bd78bd355efd970db3a34cd2848138fe462e4c","2026-07-13T23:01:15+08:00","Implement Stage 3.0 measurement and replay audit"
"15","2d4591ca9cf7515f65cc89c5394e93d335e2840f","8191d20d1b952f4f0d485db351e6642212914afd","2026-07-13T23:09:33+08:00","Preserve Stage 3.0 trajectory during measurement"
"16","c683cc56f7787411b7b7e8e439479e917f9f1d54","88c7255f3b27c9d02766e6ce290f46cd2e3f7ae8","2026-07-13T23:24:33+08:00","Harden Stage 3.0 replay gates and provenance"
"17","9f211b67968e59dc04e8e31591ad4204114bd6ab","bc60d3778d8900dd5eb64d035e70741cb5d247e0","2026-07-13T23:30:54+08:00","Align Stage 3.0 environment hash replay"
"18","44b932fba181327b08895693ec5b3fd78831a818","df59940b2c82df450bc003e94caff0c1b4574590","2026-07-13T23:35:57+08:00","Record Stage 3.0 smoke04 audit summaries"
"19","147ff86b0d4a88e2bee3dca48eca88527043a8ec","89e3d534ac8cd53b9120d17920745217557a4006","2026-07-13T23:42:06+08:00","Record Stage 3.0 formal audit summaries"
"20","9a409f8b62a7fe04b4083ef0a7784b7de3c783a6","ed6550e94c5d83747f02801adfc1ecc37fb3e3ce","2026-07-14T04:58:18+08:00","Implement Stage 3.1 cheap screening"
"21","7795e513917e401340cdb217b3f5ac30011cf67e","a35f3dc44692d9d9804886748d62cee2062cad1e","2026-07-14T05:08:57+08:00","Optimize Stage 3.1 replay audit"
"22","5c9091b326743426b6597184ce8939d58e2d4450","3ca3831e468e611da7e9559f7028a95186606c6c","2026-07-14T05:23:40+08:00","Harden Stage 3.1 screening audit"
"23","9967f1a92bba2e3d0c583e4a912afa80e9731f02","5c106c3a54100fc64183d22f8863a22201ef9739","2026-07-14T05:25:48+08:00","Verify published Stage 3.0 baseline aliases"
"24","0c7b67d6f0b038d803ac018fe78d827ff85f93da","49890c876a6b01911b3c73858b8b8f2c5128cb15","2026-07-14T05:33:57+08:00","Record Stage 3.1 smoke audit"
"25","1f43a04c7f37d7a7cc788dd882e839e71adda175","b20c6ef5ccbccd080cbbb25e025e6a0515a7525b","2026-07-14T05:44:31+08:00","Record Stage 3.1 formal audit"
"26","781255781b308c198b4d57e6dbb6966cc5ccd560","e031bd67a09d39214623dae59b275a63ab4869de","2026-07-14T06:35:51+08:00","Normalize Stage 3 artifact registries and legacy mappings"
